time,ecg
1,530
2,529
3,529
4,528
5,527
6,526
7,524
8,523
9,522
10,522
11,521
12,521
13,520
14,520
15,519
16,518
17,517
18,518
19,518
20,518
21,518
22,517
23,517
24,518
25,518
26,517
27,518
28,518
29,518
30,518
31,518
32,518
33,517
34,516
35,516
36,515
37,516
38,517
39,517
40,516
41,516
42,515
43,515
44,514
45,513
46,512
47,513
48,513
49,513
50,513
51,513
52,512
53,511
54,511
55,512
56,512
57,512
58,512
59,511
60,511
61,511
62,511
63,510
64,510
65,511
66,511
67,510
68,509
69,510
70,510
71,509
72,509
73,509
74,508
75,508
76,507
77,506
78,504
79,503
80,501
81,499
82,495
83,489
84,483
85,474
86,464
87,452
88,439
89,427
90,415
91,404
92,395
93,388
94,384
95,380
96,376
97,375
98,376
99,379
100,384
101,392
102,404
103,419
104,436
105,455
106,479
107,508
108,540
109,577
110,620
111,666
112,715
113,765
114,816
115,868
116,918
117,965
118,1010
119,1022
120,1022
121,1022
122,1022
123,1022
124,1022
125,1022
126,1022
127,1022
128,1022
129,1022
130,1022
131,1022
132,1022
133,1022
134,1022
135,1022
136,1017
137,962
138,909
139,858
140,810
141,764
142,720
143,681
144,646
145,616
146,590
147,568
148,548
149,531
150,515
151,500
152,486
153,472
154,460
155,448
156,436
157,425
158,413
159,403
160,393
161,384
162,374
163,366
164,358
165,350
166,343
167,337
168,333
169,329
170,327
171,325
172,324
173,321
174,320
175,320
176,319
177,319
178,318
179,319
180,319
181,319
182,319
183,321
184,322
185,323
186,324
187,326
188,327
189,329
190,329
191,331
192,333
193,335
194,336
195,337
196,338
197,339
198,340
199,341
200,343
201,345
202,346
203,348
204,349
205,351
206,352
207,353
208,353
209,354
210,355
211,356
212,357
213,358
214,359
215,361
216,362
217,363
218,365
219,366
220,367
221,369
222,371
223,372
224,373
225,374
226,375
227,376
228,376
229,378
230,379
231,380
232,381
233,381
234,381
235,382
236,383
237,384
238,385
239,385
240,386
241,385
242,386
243,387
244,387
245,387
246,387
247,388
248,389
249,390
250,391
251,392
252,393
253,395
254,397
255,398
256,398
257,399
258,400
259,400
260,401
261,402
262,402
263,403
264,405
265,407
266,408
267,408
268,409
269,410
270,411
271,411
272,412
273,412
274,413
275,415
276,416
277,418
278,419
279,420
280,422
281,423
282,424
