time,ecg
1,535
2,534
3,534
4,533
5,532
6,532
7,531
8,531
9,531
10,531
11,531
12,531
13,531
14,531
15,531
16,532
17,531
18,531
19,531
20,529
21,529
22,528
23,528
24,527
25,526
26,525
27,524
28,523
29,523
30,523
31,523
32,523
33,523
34,523
35,523
36,524
37,524
38,523
39,521
40,520
41,519
42,519
43,518
44,518
45,517
46,517
47,517
48,517
49,518
50,518
51,519
52,518
53,518
54,518
55,518
56,518
57,518
58,518
59,517
60,517
61,516
62,516
63,516
64,515
65,515
66,516
67,515
68,515
69,516
70,517
71,517
72,517
73,518
74,518
75,519
76,519
77,520
78,520
79,521
80,520
81,520
82,519
83,519
84,519
85,518
86,518
87,517
88,517
89,518
90,519
91,519
92,520
93,521
94,522
95,523
96,523
97,523
98,522
99,522
100,523
101,523
102,523
103,524
104,523
105,523
106,523
107,523
108,523
109,523
110,523
111,524
112,524
113,524
114,524
115,525
116,526
117,525
118,525
119,526
120,526
121,525
122,525
123,524
124,523
125,523
126,523
127,523
128,523
129,523
130,523
131,524
132,524
133,524
134,524
135,524
136,525
137,525
138,525
139,524
140,523
141,523
142,521
143,520
144,519
145,518
146,517
147,516
148,517
149,516
150,516
151,517
152,518
153,518
154,518
155,518
156,518
157,518
158,519
159,519
160,519
161,519
162,519
163,518
164,518
165,517
166,517
167,517
168,517
169,517
170,517
171,518
172,518
173,518
174,518
175,519
176,519
177,519
178,519
179,518
180,518
181,517
182,516
183,515
184,515
185,515
186,514
187,515
188,516
189,516
190,516
191,517
192,517
193,518
194,519
195,518
196,518
197,518
198,519
199,519
200,518
201,518
202,517
203,516
204,516
205,515
206,515
207,514
208,514
209,514
210,514
211,514
212,514
213,515
214,515
215,516
216,516
217,516
218,516
219,515
220,515
221,514
222,513
223,513
224,512
225,513
226,513
227,514
228,514
229,515
230,516
231,517
232,517
233,518
234,518
235,519
236,519
237,519
238,519
239,519
240,519
241,517
242,516
243,515
244,514
245,513
246,512
247,511
248,511
249,511
250,512
251,512
252,512
253,512
254,512
255,512
256,512
257,512
258,512
259,511
260,511
261,511
262,511
263,510
264,510
265,509
266,508
267,507
268,506
269,505
270,505
271,505
272,505
273,505
274,505
275,505
276,505
277,505
278,505
279,504
280,503
281,503
282,502
283,501
284,501
285,500
286,501
287,500
288,499
289,499
290,499
291,499
292,499
293,498
294,498
295,499
296,500
297,500
298,500
299,500
300,499
301,499
302,498
303,497
304,496
305,495
306,495
307,495
308,495
309,496
310,496
311,497
312,497
313,498
314,499
315,498
316,499
317,498
318,498
319,497
320,496
321,495
322,493
323,491
324,488
325,486
326,484
327,482
328,481
329,482
330,483
331,485
332,488
333,492
334,496
335,499
336,504
337,508
338,512
339,517
340,522
341,527
342,531
343,536
344,541
345,547
346,554
347,560
348,567
349,575
350,583
351,591
352,597
353,604
354,609
355,614
356,618
357,620
358,622
359,622
360,622
361,621
362,619
363,615
364,608
365,600
366,592
367,584
368,579
369,575
370,571
371,568
372,566
373,563
374,561
375,558
376,555
377,551
378,546
379,542
380,538
381,534
382,528
383,524
384,519
385,514
386,511
387,507
388,504
389,501
390,498
391,496
392,493
393,492
394,490
395,488
396,487
397,486
398,485
399,484
400,484
401,484
402,483
403,483
404,483
405,483
406,483
407,483
408,483
409,484
410,484
411,485
412,486
413,486
414,487
415,488
416,489
417,489
418,489
419,489
420,488
421,488
422,488
423,487
424,487
425,487
426,487
427,486
428,485
429,486
430,486
431,487
432,487
433,488
434,490
435,491
436,492
437,492
438,491
439,491
440,491
441,490
442,489
443,489
444,488
445,488
446,488
447,487
448,487
449,488
450,488
451,488
452,488
453,489
454,491
455,492
456,493
457,494
458,494
459,495
460,495
461,496
462,496
463,496
464,496
465,496
466,496
467,496
468,496
469,496
470,496
471,497
472,499
473,500
474,500
475,501
476,501
477,501
478,501
479,500
480,500
481,499
482,498
483,497
484,496
485,496
486,495
487,495
488,495
489,496
490,496
491,497
492,497
493,498
494,499
495,499
496,501
497,502
498,502
499,503
500,503
501,503
502,503
503,503
504,502
505,502
506,502
507,502
508,502
509,502
510,502
511,503
512,503
513,503
514,503
515,504
516,504
517,504
518,504
519,503
520,503
521,502
522,501
523,500
524,499
525,499
526,498
527,499
528,499
529,500
530,500
531,501
532,502
533,502
534,503
535,503
536,504
537,504
538,503
539,503
540,503
541,502
542,502
543,502
544,501
545,500
546,500
547,501
548,501
549,501
550,501
551,501
552,501
553,501
554,501
555,501
556,501
557,500
558,500
559,500
560,500
561,500
562,500
563,499
564,499
565,499
566,499
567,499
568,500
569,500
570,501
571,502
572,503
573,504
574,505
575,506
576,508
577,508
578,509
579,509
580,508
581,508
582,508
583,507
584,507
585,506
586,506
587,505
588,505
589,505
590,506
591,507
592,508
593,508
594,508
595,509
596,508
597,509
598,509
599,509
600,509
601,508
602,508
603,507
604,506
605,505
606,503
607,503
608,503
609,502
610,502
611,502
612,503
613,504
614,505
615,506
616,507
617,507
618,507
619,507
620,507
621,507
622,507
623,506
624,505
625,504
626,503
627,502
628,501
629,501
630,501
631,502
632,502
633,502
634,502
635,503
636,503
637,502
638,503
639,503
640,503
641,503
642,503
643,504
644,503
645,502
646,502
647,502
648,502
649,502
650,503
651,504
652,505
653,506
654,508
655,509
656,510
657,510
658,511
659,511
660,511
661,511
662,511
663,511
664,510
665,510
666,508
667,508
668,507
669,507
670,507
671,508
672,509
673,510
674,511
675,511
676,512
677,512
678,512
679,512
680,512
681,513
682,513
683,513
684,513
685,512
686,512
687,511
688,510
689,510
690,511
691,512
692,512
693,512
694,511
695,510
696,511
697,511
698,511
699,511
700,511
701,511
702,511
703,510
704,510
705,509
706,508
707,508
708,508
709,507
710,507
711,508
712,508
713,509
714,509
715,509
716,510
717,510
718,510
719,510
720,509
721,508
722,507
723,507
724,506
725,506
726,505
727,505
728,505
729,505
730,506
731,506
732,506
733,507
734,506
735,507
736,508
737,508
738,508
739,508
740,507
741,506
742,505
743,504
744,504
745,504
746,504
747,503
748,503
749,503
750,504
751,505
752,507
753,507
754,508
755,508
756,508
757,509
758,509
759,508
760,507
761,506
762,505
763,504
764,504
765,503
766,502
767,501
768,500
769,500
770,500
771,500
772,501
773,502
774,502
775,502
776,503
777,503
778,503
779,503
780,503
781,503
782,502
783,502
784,503
785,503
786,503
787,502
788,502
789,502
790,503
791,504
792,504
793,504
794,505
795,507
796,506
797,507
798,506
799,507
800,506
801,506
802,507
803,507
804,507
805,507
806,508
807,509
808,509
809,510
810,510
811,510
812,510
813,510
814,510
815,509
816,510
817,510
818,511
819,511
820,511
821,512
822,511
823,510
824,509
825,508
826,508
827,507
828,508
829,508
830,508
831,507
832,507
833,507
834,507
835,506
836,506
837,505
838,504
839,504
840,504
841,503
842,502
843,501
844,500
845,499
846,499
847,498
848,498
849,498
850,499
851,499
852,499
853,500
854,500
855,501
856,502
857,503
858,503
859,503
860,503
861,503
862,503
863,503
864,503
865,503
866,503
867,502
868,502
869,503
870,503
871,504
872,506
873,507
874,508
875,510
876,511
877,512
878,512
879,513
880,512
881,512
882,512
883,511
884,510
885,509
886,508
887,508
888,507
889,507
890,507
891,508
892,508
893,509
894,510
895,510
896,511
897,511
898,511
899,510
900,509
901,508
902,507
903,507
904,507
905,506
906,506
907,506
908,506
909,505
910,506
911,507
912,507
913,508
914,508
915,509
916,510
917,511
918,511
919,510
920,509
921,509
922,508
923,508
924,508
925,507
926,506
927,507
928,507
929,507
930,508
931,509
932,510
933,511
934,512
935,512
936,514
937,514
938,515
939,515
940,516
941,516
942,516
943,515
944,515
945,514
946,514
947,513
948,512
949,511
950,510
951,511
952,511
953,511
954,511
955,512
956,514
957,515
958,515
959,515
960,516
961,516
962,515
963,515
964,515
965,513
966,512
967,512
968,511
969,510
970,509
971,508
972,508
973,508
974,507
975,508
976,508
977,508
978,508
979,508
980,507
981,507
982,505
983,504
984,504
985,504
986,504
987,503
988,504
989,504
990,504
991,505
992,506
993,506
994,507
995,508
996,508
997,509
998,509
999,510
1000,509
1001,509
1002,509
1003,508
1004,508
1005,508
1006,508
1007,509
1008,509
1009,510
1010,510
1011,509
1012,510
1013,511
1014,512
1015,513
1016,514
1017,514
1018,514
1019,514
1020,514
1021,514
1022,513
1023,513
1024,512
1025,512
1026,511
1027,511
1028,511
1029,510
1030,510
1031,510
1032,508
1033,508
1034,508
1035,508
1036,508
1037,507
1038,506
1039,506
1040,505
1041,506
1042,504
1043,504
1044,504
1045,504
1046,504
1047,504
1048,504
1049,504
1050,506
1051,507
1052,508
1053,510
1054,510
1055,511
1056,511
1057,512
1058,512
1059,513
1060,513
1061,513
1062,512
1063,513
1064,513
1065,513
1066,513
1067,514
1068,514
1069,515
1070,515
1071,516
1072,516
1073,516
1074,517
1075,517
1076,517
1077,517
1078,518
1079,518
1080,517
1081,517
1082,516
1083,516
1084,515
1085,515
1086,514
1087,512
1088,511
1089,510
1090,509
1091,508
1092,508
1093,507
1094,506
1095,505
1096,505
1097,505
1098,505
1099,504
1100,504
1101,503
1102,502
1103,501
1104,502
1105,502
1106,502
1107,502
1108,502
1109,503
1110,504
1111,505
1112,506
1113,506
1114,506
1115,506
1116,506
1117,505
1118,505
1119,505
1120,504
1121,505
1122,504
1123,504
1124,503
1125,502
1126,502
1127,501
1128,502
1129,502
1130,502
1131,503
1132,504
1133,505
1134,506
1135,507
1136,507
1137,505
1138,504
1139,504
1140,503
1141,502
1142,500
1143,499
1144,497
1145,497
1146,496
1147,495
1148,495
1149,495
1150,496
1151,497
1152,498
1153,499
1154,500
1155,501
1156,502
1157,504
1158,504
1159,504
1160,504
1161,504
1162,503
1163,502
1164,502
1165,501
1166,501
1167,500
1168,501
1169,503
1170,503
1171,504
1172,505
1173,507
1174,507
1175,507
1176,508
1177,509
1178,509
1179,509
1180,510
1181,509
1182,508
1183,508
1184,507
1185,507
1186,507
1187,507
1188,507
1189,506
1190,506
1191,507
1192,507
1193,508
1194,508
1195,510
1196,511
1197,511
1198,511
1199,511
1200,511
1201,511
1202,511
1203,510
1204,510
1205,509
1206,509
1207,510
1208,510
1209,511
1210,511
1211,512
1212,513
1213,514
1214,515
1215,515
1216,516
1217,517
1218,517
1219,517
1220,517
1221,517
1222,517
1223,516
1224,516
1225,515
1226,516
1227,515
1228,516
1229,516
1230,517
1231,519
1232,519
1233,519
1234,519
1235,519
1236,520
1237,519
1238,519
1239,518
1240,518
1241,516
1242,515
1243,514
1244,513
1245,512
1246,511
1247,511
1248,511
1249,510
1250,510
1251,509
1252,510
1253,510
1254,511
1255,512
1256,511
1257,512
1258,512
1259,512
1260,511
1261,510
1262,509
1263,508
1264,507
1265,505
1266,503
1267,501
1268,499
1269,497
1270,496
1271,495
1272,495
1273,495
1274,496
1275,498
1276,501
1277,504
1278,506
1279,510
1280,514
1281,518
1282,523
1283,527
1284,531
1285,536
1286,541
1287,546
1288,551
1289,557
1290,563
1291,569
1292,576
1293,583
1294,591
1295,598
1296,606
1297,612
1298,617
1299,622
1300,624
1301,626
1302,627
1303,626
1304,625
1305,623
1306,619
1307,614
1308,607
1309,598
1310,589
1311,582
1312,576
1313,572
1314,569
1315,567
1316,565
1317,562
1318,561
1319,558
1320,554
1321,549
1322,543
1323,536
1324,530
1325,524
1326,518
1327,513
1328,509
1329,505
1330,502
1331,500
1332,498
1333,496
1334,494
1335,492
1336,490
1337,489
1338,487
1339,486
1340,484
1341,481
1342,479
1343,476
1344,475
1345,475
1346,473
1347,472
1348,472
1349,471
1350,471
1351,472
1352,472
1353,472
1354,473
1355,473
1356,473
1357,473
1358,473
1359,474
1360,474
1361,475
1362,474
1363,473
1364,473
1365,472
1366,472
1367,472
1368,472
1369,472
1370,472
1371,472
1372,473
1373,474
1374,475
1375,476
1376,477
1377,477
1378,479
1379,480
1380,480
1381,480
1382,479
1383,479
1384,479
1385,480
1386,480
1387,480
1388,480
1389,480
1390,481
1391,483
1392,484
1393,485
1394,487
1395,487
1396,488
1397,488
1398,489
1399,490
1400,490
1401,490
1402,489
1403,490
1404,490
1405,489
1406,489
1407,490
1408,491
1409,491
1410,491
