time,ecg
1,537
2,535
3,535
4,535
5,533
6,533
7,534
8,534
9,533
10,533
11,532
12,531
13,530
14,529
15,529
16,529
17,529
18,531
19,531
20,531
21,529
22,529
23,529
24,530
25,530
26,529
27,528
28,527
29,527
30,525
31,525
32,526
33,524
34,525
35,526
36,527
37,527
38,528
39,528
40,529
41,531
42,533
43,535
44,536
45,537
46,537
47,538
48,537
49,535
50,534
51,532
52,531
53,530
54,528
55,528
56,525
57,524
58,524
59,521
60,520
61,520
62,520
63,520
64,519
65,518
66,518
67,516
68,515
69,514
70,513
71,513
72,512
73,512
74,512
75,511
76,511
77,510
78,510
79,511
80,511
81,510
82,510
83,510
84,509
85,510
86,511
87,511
88,511
89,511
90,512
91,510
92,508
93,506
94,505
95,504
96,505
97,511
98,519
99,526
100,531
101,532
102,533
103,536
104,538
105,540
106,544
107,545
108,545
109,543
110,539
111,535
112,533
113,534
114,536
115,541
116,545
117,550
118,556
119,560
120,560
121,560
122,560
123,557
124,553
125,551
126,550
127,547
128,543
129,539
130,535
131,532
132,531
133,529
134,526
135,524
136,522
137,519
138,516
139,513
140,511
141,508
142,507
143,506
144,504
145,503
146,502
147,501
148,501
149,501
150,502
151,502
152,503
153,502
154,502
155,500
156,498
157,497
158,495
159,494
160,495
161,495
162,495
163,494
164,494
165,493
166,491
167,491
168,490
169,490
170,490
171,490
172,490
173,490
174,489
175,489
176,490
177,490
178,489
179,488
180,489
181,489
182,490
183,490
184,490
185,490
186,489
187,489
188,489
189,489
190,488
191,488
192,487
193,487
194,487
195,487
196,487
197,487
198,487
199,487
200,487
201,487
202,489
203,492
204,492
205,493
206,493
207,492
208,492
209,492
210,492
211,492
212,493
213,493
214,492
215,492
216,492
217,492
218,491
219,491
220,491
221,490
222,490
223,490
224,489
225,490
226,491
227,492
228,493
229,494
230,494
231,493
232,492
233,493
234,493
235,494
236,493
237,493
238,493
239,494
240,495
241,497
242,496
243,497
244,497
245,497
246,497
247,497
248,496
249,495
250,494
251,495
252,495
253,495
254,497
255,497
256,499
257,500
258,500
259,500
260,502
261,503
262,503
263,504
264,505
265,507
266,507
267,507
268,507
269,507
270,508
271,508
272,507
273,507
274,507
275,507
276,508
277,508
278,507
279,508
280,509
281,510
282,510
283,510
284,510
285,510
286,510
287,511
288,511
289,511
290,512
291,515
292,516
293,517
294,518
295,520
296,521
297,522
298,520
299,520
300,519
301,518
302,517
303,517
304,516
305,516
306,515
307,515
308,516
309,517
310,518
311,519
312,518
313,519
314,519
315,519
316,519
317,520
318,521
319,522
320,524
321,524
322,522
323,522
324,523
325,524
326,523
327,521
328,520
329,520
330,522
331,522
332,522
333,523
334,522
335,523
336,523
337,522
338,524
339,524
340,526
341,526
342,525
343,526
344,525
345,526
346,526
347,527
348,526
349,525
350,526
351,526
352,526
353,527
354,528
355,529
356,529
357,529
358,529
359,529
360,530
361,531
362,531
363,530
364,531
365,529
366,529
367,529
368,530
369,530
370,530
371,531
372,531
373,531
374,531
375,531
376,532
377,532
378,531
379,530
380,529
381,527
382,527
383,527
384,527
385,527
386,526
387,525
388,523
389,523
390,523
391,522
392,521
393,521
394,521
395,522
396,522
397,520
398,519
399,518
400,517
401,515
402,515
403,515
404,513
405,513
406,512
407,511
408,511
409,510
410,509
411,507
412,508
413,507
414,506
415,506
416,506
417,505
418,505
419,504
420,503
421,502
422,501
423,500
424,501
425,502
426,501
427,501
428,500
429,499
430,499
431,500
432,500
433,499
434,499
435,499
436,499
437,500
438,500
439,500
440,500
441,500
442,500
443,502
444,503
445,503
446,504
447,505
448,504
449,503
450,504
451,502
452,502
453,503
454,502
455,503
456,503
457,504
458,505
459,505
460,506
461,506
462,507
463,506
464,507
465,506
466,506
467,506
468,507
469,508
470,508
471,507
472,508
473,509
474,510
475,510
476,511
477,511
478,510
479,510
480,510
481,511
482,511
483,510
484,511
485,512
486,512
487,512
488,512
489,511
490,510
491,511
492,511
493,512
494,511
495,510
496,510
497,510
498,510
499,510
500,510
501,511
502,512
503,512
504,511
505,511
506,510
507,510
508,510
509,508
510,509
511,510
512,510
513,510
514,510
515,511
516,511
517,511
518,512
519,511
520,510
521,510
522,510
523,510
524,509
525,510
526,510
527,511
528,511
529,511
530,512
531,512
532,512
533,513
534,514
535,515
536,516
537,515
538,514
539,515
540,516
541,517
542,517
543,517
544,516
545,516
546,516
547,517
548,517
549,517
550,516
551,517
552,516
553,516
554,515
555,515
556,514
557,513
558,513
559,513
560,512
561,512
562,511
563,512
564,511
565,512
566,511
567,511
568,511
569,511
570,512
571,512
572,512
573,511
574,511
575,512
576,511
577,511
578,512
579,512
580,512
581,511
582,510
583,510
584,510
585,509
586,509
587,508
588,508
589,507
590,505
591,505
592,504
593,504
594,506
595,506
596,505
597,505
598,507
599,507
600,507
601,507
602,507
603,508
604,508
605,508
606,507
607,509
608,508
609,507
610,507
611,507
612,507
613,507
614,508
615,508
616,508
617,507
618,505
619,504
620,503
621,502
622,502
623,503
624,504
625,504
626,504
627,503
628,503
629,505
630,506
631,506
632,507
633,507
634,506
635,507
636,507
637,506
638,505
639,504
640,503
641,503
642,501
643,502
644,501
645,501
646,501
647,502
648,503
649,504
650,504
651,505
652,506
653,505
654,505
655,506
656,504
657,505
658,505
659,506
660,508
661,508
662,508
663,508
664,508
665,507
666,506
667,506
668,508
669,508
670,508
671,509
672,510
673,510
674,510
675,511
676,511
677,512
678,512
679,512
680,512
681,513
682,515
683,516
684,516
685,516
686,516
687,515
688,515
689,515
690,516
691,515
692,515
693,514
694,513
695,512
696,513
697,514
698,514
699,513
700,513
701,513
702,512
703,512
704,512
705,513
706,513
707,512
708,512
709,512
710,511
711,512
712,511
713,510
714,511
715,510
716,509
717,508
718,507
719,507
720,506
721,506
722,506
723,506
724,505
725,505
726,504
727,504
728,504
729,505
730,505
731,504
732,505
733,505
734,505
735,506
736,508
737,508
738,508
739,507
740,507
741,507
742,506
743,506
744,505
745,505
746,504
747,504
748,505
749,506
750,507
751,508
752,509
753,509
754,509
755,510
756,510
757,508
758,508
759,507
760,507
761,506
762,505
763,505
764,506
765,507
766,507
767,506
768,506
769,505
770,505
771,504
772,503
773,502
774,501
775,500
776,499
777,498
778,496
779,496
780,495
781,495
782,494
783,495
784,496
785,497
786,499
787,499
788,501
789,502
790,503
791,502
792,500
793,499
794,499
795,499
796,500
797,505
798,510
799,515
800,520
801,524
802,527
803,529
804,531
805,533
806,535
807,536
808,536
809,535
810,534
811,531
812,530
813,531
814,533
815,536
816,539
817,542
818,547
819,551
820,553
821,553
822,552
823,551
824,548
825,546
826,543
827,539
828,536
829,532
830,528
831,525
832,521
833,518
834,516
835,513
836,511
837,509
838,508
839,506
840,504
841,503
842,501
843,500
844,499
845,498
846,496
847,495
848,494
849,494
850,494
851,494
852,493
853,492
854,493
855,494
856,494
857,495
858,495
859,495
860,495
861,494
862,493
863,493
864,493
865,492
866,491
867,491
868,491
869,492
870,492
871,492
872,492
873,493
874,492
875,492
876,493
877,493
878,494
879,493
880,493
881,494
882,494
883,493
884,492
885,491
886,492
887,492
888,494
889,495
890,495
891,495
892,495
893,495
894,494
895,493
896,492
897,492
898,493
899,493
900,492
901,493
902,492
903,493
904,495
905,495
906,494
907,493
908,492
909,491
910,491
911,490
912,489
913,489
914,489
915,489
916,488
917,487
918,487
919,487
920,487
921,487
922,487
923,487
924,487
925,487
926,488
927,490
928,489
929,489
930,489
931,491
932,492
933,492
934,493
935,493
936,493
937,494
938,494
939,494
940,495
941,495
942,495
943,494
944,494
945,495
946,495
947,495
948,495
949,494
950,493
951,493
952,493
953,494
954,493
955,492
956,492
957,492
958,494
959,494
960,493
961,492
962,491
963,489
964,488
965,488
966,487
967,488
968,488
969,488
970,489
971,488
972,488
973,489
974,489
975,490
976,491
977,491
978,490
979,488
980,487
981,486
982,487
983,490
984,491
985,492
986,491
987,492
988,493
989,494
990,495
991,495
992,495
993,495
994,495
995,495
996,496
997,496
998,497
999,497
1000,496
1001,496
1002,495
1003,495
1004,494
1005,494
1006,492
1007,492
1008,492
1009,493
1010,495
1011,495
1012,495
1013,493
1014,493
1015,493
1016,492
1017,491
1018,491
1019,490
1020,489
1021,489
1022,489
1023,489
1024,489
1025,489
1026,488
1027,488
1028,487
1029,487
1030,487
1031,487
1032,487
1033,487
1034,487
1035,487
1036,487
1037,487
1038,487
1039,487
1040,487
1041,486
1042,485
1043,484
1044,484
1045,483
1046,482
1047,481
1048,481
1049,480
1050,480
1051,480
1052,481
1053,481
1054,482
1055,483
1056,482
1057,483
1058,483
1059,483
1060,483
1061,483
1062,483
1063,483
1064,482
1065,482
1066,481
1067,481
1068,481
1069,480
1070,480
1071,479
1072,480
1073,479
1074,478
1075,479
1076,479
1077,479
1078,479
1079,478
1080,478
1081,477
1082,477
1083,476
1084,476
1085,475
1086,475
1087,475
1088,475
1089,474
1090,474
1091,473
1092,473
1093,472
1094,471
1095,471
1096,470
1097,470
1098,469
1099,468
1100,468
1101,467
1102,467
1103,466
1104,466
1105,466
1106,466
1107,465
1108,465
1109,464
1110,464
1111,463
1112,463
1113,464
1114,464
1115,464
1116,464
1117,463
1118,463
1119,462
1120,463
1121,462
1122,462
1123,463
1124,464
1125,464
1126,464
1127,463
1128,463
1129,463
1130,463
1131,464
1132,464
1133,465
1134,465
1135,465
1136,465
1137,465
1138,467
1139,466
1140,466
1141,466
1142,466
1143,466
1144,466
1145,466
1146,466
1147,467
1148,467
1149,466
1150,466
1151,466
1152,466
1153,467
1154,467
1155,468
1156,468
1157,469
1158,468
1159,468
1160,467
1161,465
1162,465
1163,466
1164,466
1165,467
1166,468
1167,469
1168,470
1169,471
1170,472
1171,472
1172,472
1173,472
1174,472
1175,472
1176,473
1177,474
1178,474
1179,473
1180,475
1181,475
1182,476
1183,476
1184,476
1185,476
1186,476
1187,476
1188,477
1189,477
1190,477
1191,477
1192,477
1193,477
1194,477
1195,477
1196,478
1197,479
1198,480
1199,480
1200,480
1201,480
1202,481
1203,481
1204,482
1205,483
1206,484
1207,486
1208,487
1209,489
1210,490
1211,491
1212,492
1213,492
1214,493
1215,494
1216,495
1217,495
1218,496
1219,496
1220,496
1221,496
1222,496
1223,496
1224,496
1225,496
1226,495
1227,495
1228,496
1229,495
1230,496
1231,496
1232,496
1233,496
1234,496
1235,497
1236,497
1237,498
1238,499
1239,499
1240,500
1241,500
1242,500
1243,500
1244,502
1245,502
1246,503
1247,503
1248,503
1249,504
1250,504
1251,504
1252,505
1253,504
1254,504
1255,504
1256,504
1257,505
1258,505
1259,505
1260,504
1261,504
1262,504
1263,504
1264,504
1265,504
1266,503
1267,502
1268,500
1269,501
1270,503
1271,504
1272,504
1273,505
1274,505
1275,506
1276,506
1277,506
1278,505
1279,505
1280,505
1281,504
1282,504
1283,504
1284,504
1285,504
1286,504
1287,504
1288,504
1289,504
1290,504
1291,504
1292,505
1293,506
1294,506
1295,507
1296,507
1297,507
1298,506
1299,506
1300,506
1301,505
1302,506
1303,507
1304,507
1305,508
1306,508
1307,508
1308,508
1309,508
1310,508
1311,508
1312,507
1313,507
1314,506
1315,507
1316,507
1317,507
1318,506
1319,506
1320,506
1321,506
1322,506
1323,505
1324,505
1325,506
1326,506
1327,506
1328,506
1329,506
1330,506
1331,506
1332,505
1333,506
1334,506
1335,506
1336,507
1337,507
1338,507
1339,507
1340,506
1341,506
1342,505
1343,505
1344,505
1345,505
1346,504
1347,505
1348,504
1349,504
1350,504
1351,503
1352,503
1353,503
1354,503
1355,503
1356,502
1357,502
1358,502
1359,502
1360,502
1361,502
1362,502
1363,501
1364,501
1365,501
1366,501
1367,501
1368,501
1369,501
1370,501
1371,502
1372,502
1373,503
1374,503
1375,504
1376,504
1377,504
1378,504
1379,504
1380,505
1381,505
1382,505
1383,505
1384,504
1385,504
1386,504
1387,504
1388,504
1389,504
1390,504
1391,504
1392,504
1393,503
1394,503
1395,504
1396,503
1397,503
1398,503
1399,502
1400,501
1401,501
1402,500
1403,500
1404,499
1405,499
1406,498
1407,497
1408,497
1409,496
1410,496
1411,495
1412,495
1413,493
1414,492
1415,491
1416,490
1417,491
1418,492
1419,492
1420,492
1421,492
1422,492
1423,491
1424,491
1425,491
1426,491
1427,490
1428,489
1429,489
1430,488
1431,487
1432,486
1433,485
1434,484
1435,484
1436,484
1437,485
1438,485
1439,486
1440,485
1441,485
1442,485
1443,485
1444,485
1445,486
1446,486
1447,485
1448,485
1449,485
1450,485
1451,485
1452,486
1453,486
1454,486
1455,487
1456,486
1457,487
1458,487
1459,486
1460,486
1461,486
1462,486
1463,486
1464,484
1465,483
1466,482
1467,481
1468,480
1469,479
1470,479
1471,480
1472,480
1473,479
1474,479
1475,478
1476,476
1477,475
1478,474
1479,473
1480,472
1481,471
1482,470
1483,468
1484,467
1485,465
1486,464
1487,464
1488,463
1489,463
1490,464
1491,465
1492,467
1493,468
1494,470
1495,470
1496,470
1497,468
1498,467
1499,467
1500,467
1501,470
1502,475
1503,480
1504,486
1505,490
1506,493
1507,496
1508,498
1509,501
1510,504
1511,506
1512,507
1513,508
1514,506
1515,504
1516,502
1517,501
1518,503
1519,506
1520,509
1521,512
1522,515
1523,519
1524,521
1525,523
1526,522
1527,522
1528,520
1529,518
1530,516
1531,513
1532,510
1533,506
1534,502
1535,499
1536,494
1537,491
1538,488
1539,486
1540,484
1541,483
1542,481
1543,480
1544,479
1545,478
1546,476
1547,474
1548,472
1549,471
1550,470
1551,469
1552,468
1553,467
1554,468
1555,469
1556,470
1557,471
1558,471
1559,470
1560,471
1561,472
1562,472
1563,472
1564,472
1565,473
1566,473
1567,473
1568,473
1569,473
